frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,200.0,0.0,200.0,TRACKING,True,4.347
1,0.0333,197.545,0.182,197.546,TRACKING,True,3.1002
2,0.0667,189.278,0.794,189.28,TRACKING,True,2.2328
3,0.1,174.738,1.871,174.748,TRACKING,True,2.7323
4,0.1333,155.489,3.315,155.524,TRACKING,True,2.193
5,0.1667,132.907,4.498,132.983,TRACKING,True,2.695
6,0.2,108.282,5.419,108.417,TRACKING,True,2.1934
7,0.2333,82.717,6.115,82.943,TRACKING,True,2.6602
8,0.2667,56.379,6.364,56.737,TRACKING,True,2.1673
9,0.3,29.292,6.276,29.957,TRACKING,True,2.6857
10,0.3333,5.527,6.211,8.314,TRACKING,True,2.3015
11,0.3667,-12.748,5.888,14.042,TRACKING,True,2.7644
12,0.4,-24.496,5.376,25.079,TRACKING,True,2.187
13,0.4333,-29.786,5.001,30.203,TRACKING,True,2.7432
14,0.4667,-29.498,4.725,29.874,TRACKING,True,2.1825
15,0.5,-25.667,4.246,26.016,TRACKING,True,2.7288
16,0.5333,-19.23,4.173,19.677,TRACKING,True,2.124
17,0.5667,-11.714,4.12,12.417,TRACKING,True,2.6171
18,0.6,-4.8,4.081,6.301,TRACKING,True,2.2331
19,0.6333,0.831,4.052,4.137,TRACKING,True,2.6315
20,0.6667,4.682,4.313,6.366,TRACKING,True,2.0945
21,0.7,6.663,4.503,8.042,TRACKING,True,2.7555
22,0.7333,6.992,4.643,8.393,TRACKING,True,2.1538
23,0.7667,5.826,4.462,7.338,TRACKING,True,2.7447
24,0.8,4.412,4.613,6.384,TRACKING,True,2.2296
25,0.8333,2.251,4.724,5.233,TRACKING,True,2.7701
26,0.8667,0.109,4.805,4.806,TRACKING,True,2.257
27,0.9,-1.449,4.579,4.803,TRACKING,True,2.7933
28,0.9333,-2.579,4.699,5.36,TRACKING,True,2.1756
29,0.9667,-3.395,4.501,5.638,TRACKING,True,2.7389
30,1.0,-3.697,4.357,5.714,TRACKING,True,2.124
31,1.0333,-3.334,4.251,5.403,TRACKING,True,2.7624
32,1.0667,-3.059,4.174,5.175,TRACKING,True,2.2204
33,1.1,-2.562,4.118,4.85,TRACKING,True,2.7907
34,1.1333,-2.189,4.365,4.883,TRACKING,True,2.2929
35,1.1667,-1.907,4.545,4.929,TRACKING,True,2.6739
36,1.2,-1.693,4.388,4.704,TRACKING,True,2.1839
37,1.2333,-1.528,4.274,4.539,TRACKING,True,2.8041
38,1.2667,-1.398,4.191,4.418,TRACKING,True,2.2243
39,1.3,-1.296,4.13,4.329,TRACKING,True,2.7867
40,1.3333,-1.502,4.086,4.353,TRACKING,True,2.2267
41,1.3667,-1.645,4.054,4.375,TRACKING,True,2.6871
42,1.4,-1.741,4.031,4.391,TRACKING,True,2.2283
43,1.4333,-1.804,4.014,4.401,TRACKING,True,2.7391
44,1.4667,-1.842,4.002,4.406,TRACKING,True,2.1723
45,1.5,-2.152,4.284,4.794,TRACKING,True,3.0118
46,1.5333,-2.081,4.489,4.948,TRACKING,True,2.2354
47,1.5667,-2.312,4.349,4.925,TRACKING,True,2.8161
48,1.6,-2.474,3.956,4.666,TRACKING,True,2.2505
49,1.6333,-2.584,3.669,4.488,TRACKING,True,2.7754
50,1.6667,-2.658,3.46,4.363,TRACKING,True,2.2492
51,1.7,-2.704,3.6,4.502,TRACKING,True,2.7596
52,1.7333,-2.732,3.702,4.601,TRACKING,True,2.3761
53,1.7667,-2.745,3.776,4.669,TRACKING,True,2.827
54,1.8,-2.748,3.831,4.715,TRACKING,True,2.1912
55,1.8333,-2.744,3.872,4.745,TRACKING,True,2.7416
56,1.8667,-2.735,3.901,4.764,TRACKING,True,2.1989
57,1.9,-2.722,3.923,4.775,TRACKING,True,2.7153
58,1.9333,-2.707,3.647,4.542,TRACKING,True,2.2188
59,1.9667,-2.69,3.739,4.606,TRACKING,True,2.7409
60,2.0,-2.672,3.805,4.65,TRACKING,True,2.1465
61,2.0333,-2.946,3.854,4.851,TRACKING,True,2.7628
62,2.0667,-2.848,3.89,4.821,TRACKING,True,2.1584
63,2.1,-3.064,3.624,4.746,TRACKING,True,2.7469
64,2.1333,-2.923,3.431,4.508,TRACKING,True,2.2422
65,2.1667,-3.109,3.29,4.526,TRACKING,True,2.7111
66,2.2,-3.239,3.188,4.545,TRACKING,True,2.1992
67,2.2333,-3.329,3.114,4.558,TRACKING,True,2.7072
68,2.2667,-3.389,3.353,4.768,TRACKING,True,2.162
69,2.3,-3.429,3.236,4.715,TRACKING,True,2.7787
70,2.3333,-3.453,3.151,4.675,TRACKING,True,2.1969
71,2.3667,-3.467,3.381,4.843,TRACKING,True,2.7887
72,2.4,-3.472,3.258,4.761,TRACKING,True,2.2246
73,2.4333,-3.179,3.168,4.488,TRACKING,True,2.7795
74,2.4667,-3.254,3.103,4.496,TRACKING,True,2.2312
75,2.5,-3.305,3.056,4.501,TRACKING,True,2.7952
76,2.5333,-3.631,3.022,4.724,TRACKING,True,2.2284
77,2.5667,-3.865,2.998,4.891,TRACKING,True,2.756
78,2.6,-3.738,2.981,4.782,TRACKING,True,2.2127
79,2.6333,-3.643,2.969,4.7,TRACKING,True,2.713
80,2.6667,-3.57,2.961,4.638,TRACKING,True,2.1519
81,2.7,-3.513,2.663,4.408,TRACKING,True,2.5916
82,2.7333,-3.761,2.739,4.653,TRACKING,True,2.1643
83,2.7667,-3.938,2.795,4.829,TRACKING,True,2.5896
84,2.8,-4.064,2.544,4.795,TRACKING,True,2.1369
85,2.8333,-4.153,2.654,4.929,TRACKING,True,2.6785
86,2.8667,-4.214,2.735,5.024,TRACKING,True,2.1851
87,2.9,-4.256,2.502,4.937,TRACKING,True,2.7878
88,2.9333,-3.697,2.333,4.372,TRACKING,True,2.2453
89,2.9667,-3.58,2.503,4.368,TRACKING,True,2.8104
90,3.0,-3.492,2.335,4.201,TRACKING,True,2.2022
91,3.0333,-3.718,2.213,4.327,TRACKING,True,2.7316
92,3.0667,-3.881,2.125,4.425,TRACKING,True,2.219
93,3.1,-3.997,2.062,4.497,TRACKING,True,2.7772
94,3.1333,-4.079,2.016,4.55,TRACKING,True,2.1741
95,3.1667,-4.136,1.984,4.587,TRACKING,True,2.666
96,3.2,-4.176,1.961,4.613,TRACKING,True,2.1696
97,3.2333,-4.202,1.946,4.63,TRACKING,True,2.7506
98,3.2667,-4.219,1.935,4.641,TRACKING,True,2.1927
99,3.3,-4.229,1.928,4.647,TRACKING,True,2.6556
100,3.3333,-4.234,1.924,4.65,TRACKING,True,2.1801
101,3.3667,-4.235,1.922,4.651,TRACKING,True,2.7189
102,3.4,-4.234,1.921,4.649,TRACKING,True,2.2568
103,3.4333,-4.231,1.921,4.647,TRACKING,True,2.7412
104,3.4667,-4.227,1.921,4.643,TRACKING,True,2.2215
105,3.5,-4.222,1.63,4.526,TRACKING,True,2.7851
106,3.5333,-4.217,1.711,4.551,TRACKING,True,2.2434
107,3.5667,-4.211,1.771,4.568,TRACKING,True,2.6621
108,3.6,-4.498,1.815,4.851,TRACKING,True,2.2257
109,3.6333,-4.705,1.555,4.956,TRACKING,True,2.7018
110,3.6667,-4.562,1.366,4.762,TRACKING,True,2.1996
111,3.7,-4.455,1.523,4.708,TRACKING,True,2.8173
112,3.7333,-4.669,1.344,4.858,TRACKING,True,2.2004
113,3.7667,-4.53,1.215,4.69,TRACKING,True,2.7163
114,3.8,-4.427,1.122,4.567,TRACKING,True,2.1427
115,3.8333,-4.35,1.055,4.476,TRACKING,True,2.7424
116,3.8667,-4.586,1.007,4.695,TRACKING,True,2.1834
117,3.9,-4.463,0.974,4.568,TRACKING,True,2.6112
118,3.9333,-4.372,0.95,4.474,TRACKING,True,2.1816
119,3.9667,-4.305,0.934,4.405,TRACKING,True,2.6867
120,4.0,-4.547,0.63,4.591,TRACKING,True,2.1386
121,4.0333,-4.723,0.702,4.775,TRACKING,True,2.7944
122,4.0667,-4.556,0.756,4.619,TRACKING,True,2.221
123,4.1,-4.727,0.796,4.793,TRACKING,True,2.8191
124,4.1333,-4.85,0.827,4.92,TRACKING,True,2.4194
125,4.1667,-4.645,0.85,4.722,TRACKING,True,2.7348
126,4.2,-4.787,0.574,4.822,TRACKING,True,2.1978
127,4.2333,-4.597,0.667,4.645,TRACKING,True,2.7307
128,4.2667,-4.457,0.736,4.518,TRACKING,True,2.1518
129,4.3,-4.647,0.494,4.673,TRACKING,True,2.7264
130,4.3333,-4.785,0.319,4.795,TRACKING,True,2.1527
131,4.3667,-4.591,0.192,4.595,TRACKING,True,2.7361
132,4.4,-4.742,0.1,4.743,TRACKING,True,2.1871
133,4.4333,-4.85,0.035,4.85,TRACKING,True,2.6334
134,4.4667,-4.636,-0.012,4.636,TRACKING,True,2.1682
135,4.5,-4.478,0.248,4.485,TRACKING,True,2.6254
136,4.5333,-4.656,-0.147,4.658,TRACKING,True,2.1189
137,4.5667,-4.491,-0.141,4.493,TRACKING,True,2.6544
138,4.6,-4.37,-0.136,4.373,TRACKING,True,2.1579
139,4.6333,-4.575,-0.131,4.577,TRACKING,True,2.6726
140,4.6667,-4.43,-0.126,4.432,TRACKING,True,2.0853
141,4.7,-4.324,-0.122,4.326,TRACKING,True,2.6321
142,4.7333,-4.539,-0.117,4.541,TRACKING,True,2.1208
143,4.7667,-4.695,-0.113,4.697,TRACKING,True,2.5452
144,4.8,-4.515,-0.402,4.533,TRACKING,True,2.0598
145,4.8333,-4.677,-0.612,4.717,TRACKING,True,2.5255
146,4.8667,-4.794,-0.471,4.817,TRACKING,True,2.0896
147,4.9,-4.585,-0.367,4.6,TRACKING,True,2.632
148,4.9333,-4.725,-0.583,4.761,TRACKING,True,2.0918
149,4.9667,-4.827,-0.74,4.883,TRACKING,True,2.6162
150,5.0,-4.607,-0.853,4.686,TRACKING,True,2.0838
151,5.0333,-4.74,-0.934,4.831,TRACKING,True,2.6271
152,5.0667,-4.836,-0.992,4.936,TRACKING,True,2.0832
153,5.1,-4.612,-1.033,4.726,TRACKING,True,2.6436
154,5.1333,-4.448,-1.062,4.573,TRACKING,True,2.1091
155,5.1667,-4.622,-1.081,4.747,TRACKING,True,2.6528
156,5.2,-4.455,-0.802,4.526,TRACKING,True,2.1604
157,5.2333,-4.332,-0.89,4.423,TRACKING,True,2.5713
158,5.2667,-4.243,-1.246,4.422,TRACKING,True,2.1305
159,5.3,-4.471,-1.212,4.632,TRACKING,True,2.5612
160,5.3333,-4.637,-1.185,4.786,TRACKING,True,2.0233
161,5.3667,-4.464,-1.458,4.696,TRACKING,True,2.6249
162,5.4,-4.338,-1.363,4.547,TRACKING,True,2.0807
163,5.4333,-4.538,-1.292,4.719,TRACKING,True,2.6148
164,5.4667,-4.685,-1.533,4.929,TRACKING,True,2.0823
165,5.5,-4.498,-1.707,4.811,TRACKING,True,2.6385
166,5.5333,-4.361,-1.54,4.625,TRACKING,True,2.1112
167,5.5667,-4.261,-1.417,4.491,TRACKING,True,2.6127
168,5.6,-4.188,-1.619,4.49,TRACKING,True,2.1549
169,5.6333,-4.428,-1.765,4.767,TRACKING,True,2.6774
170,5.6667,-4.603,-1.871,4.969,TRACKING,True,2.0909
171,5.7,-4.437,-1.947,4.845,TRACKING,True,2.6091
172,5.7333,-4.316,-2.001,4.757,TRACKING,True,2.144
173,5.7667,-4.227,-2.039,4.693,TRACKING,True,2.7002
174,5.8,-4.163,-2.066,4.647,TRACKING,True,2.1526
175,5.8333,-4.115,-2.084,4.613,TRACKING,True,2.7024
176,5.8667,-4.081,-2.096,4.588,TRACKING,True,2.1799
177,5.9,-4.056,-2.104,4.569,TRACKING,True,2.7158
178,5.9333,-4.038,-2.108,4.555,TRACKING,True,2.2117
179,5.9667,-4.025,-2.111,4.545,TRACKING,True,2.7166
180,6.0,-4.015,-2.111,4.536,TRACKING,True,2.1033
181,6.0333,-4.301,-2.111,4.791,TRACKING,True,2.6989
182,6.0667,-4.217,-2.402,4.853,TRACKING,True,2.0864
183,6.1,-3.862,-2.321,4.506,TRACKING,True,2.6221
184,6.1333,-3.604,-2.26,4.254,TRACKING,True,2.1964
185,6.1667,-3.709,-2.215,4.32,TRACKING,True,2.6541
186,6.2,-3.785,-2.475,4.523,TRACKING,True,2.1135
187,6.2333,-3.842,-2.662,4.674,TRACKING,True,2.5987
188,6.2667,-3.883,-2.505,4.621,TRACKING,True,2.1043
189,6.3,-3.913,-2.683,4.744,TRACKING,True,2.6336
190,6.3333,-3.935,-2.811,4.836,TRACKING,True,2.0662
191,6.3667,-3.951,-2.61,4.736,TRACKING,True,2.6387
192,6.4,-3.963,-2.756,4.827,TRACKING,True,2.0996
193,6.4333,-3.679,-2.861,4.661,TRACKING,True,2.598
194,6.4667,-3.472,-2.937,4.547,TRACKING,True,2.218
195,6.5,-3.321,-2.991,4.469,TRACKING,True,2.753
196,6.5333,-3.505,-3.029,4.633,TRACKING,True,2.1938
197,6.5667,-3.639,-3.056,4.752,TRACKING,True,2.6892
198,6.6,-3.444,-3.074,4.617,TRACKING,True,2.183
199,6.6333,-3.303,-3.087,4.521,TRACKING,True,2.5761
200,6.6667,-3.493,-3.095,4.667,TRACKING,True,2.0679
201,6.7,-3.339,-3.393,4.76,TRACKING,True,2.5375
202,6.7333,-3.227,-3.316,4.627,TRACKING,True,2.081
203,6.7667,-3.439,-3.258,4.737,TRACKING,True,2.5682
204,6.8,-3.3,-3.508,4.817,TRACKING,True,2.0918
205,6.8333,-3.2,-3.397,4.667,TRACKING,True,2.6334
206,6.8667,-3.42,-3.314,4.763,TRACKING,True,2.1924
207,6.9,-3.288,-3.546,4.836,TRACKING,True,2.6594
208,6.9333,-3.192,-3.421,4.679,TRACKING,True,2.1227
209,6.9667,-3.123,-3.329,4.564,TRACKING,True,2.6009
