frame_index,time_s,beacon_world_x,beacon_world_y,beacon_frame_x,beacon_frame_y
0,0.000000,1200.000000,1000.000000,520.000000,240.000000
1,0.033333,1199.986462,1002.327053,519.986462,242.327053
2,0.066667,1199.945848,1004.653791,519.945848,244.653791
3,0.100000,1199.878165,1006.979899,519.878165,246.979899
4,0.133333,1199.783422,1009.305062,519.783422,249.305062
5,0.166667,1199.661632,1011.628966,519.661632,251.628966
6,0.200000,1199.512810,1013.951295,519.512810,253.951295
7,0.233333,1199.336978,1016.271735,519.336978,256.271735
8,0.266667,1199.134158,1018.589972,519.134158,258.589972
9,0.300000,1198.904379,1020.905693,518.904379,260.905693
10,0.333333,1198.647672,1023.218583,518.647672,263.218583
11,0.366667,1198.364070,1025.528330,518.364070,265.528330
12,0.400000,1198.053614,1027.834620,518.053614,267.834620
13,0.433333,1197.716344,1030.137142,517.716344,270.137142
14,0.466667,1197.352306,1032.435585,517.352306,272.435585
15,0.500000,1196.961551,1034.729636,516.961551,274.729636
16,0.533333,1196.544129,1037.018985,516.544129,277.018985
17,0.566667,1196.100099,1039.303322,516.100099,279.303322
18,0.600000,1195.629520,1041.582338,515.629520,281.582338
19,0.633333,1195.132456,1043.855725,515.132456,283.855725
20,0.666667,1194.608974,1046.123174,514.608974,286.123174
21,0.700000,1194.059145,1048.384379,514.059145,288.384379
22,0.733333,1193.483044,1050.639034,513.483044,290.639034
23,0.766667,1192.880748,1052.886832,512.880748,292.886832
24,0.800000,1192.252339,1055.127471,512.252339,295.127471
25,0.833333,1191.597902,1057.360647,511.597902,297.360647
26,0.866667,1190.917526,1059.586056,510.917526,299.586056
27,0.900000,1190.211303,1061.803399,510.211303,301.803399
28,0.933333,1189.479329,1064.012374,509.479329,304.012374
29,0.966667,1188.721701,1066.212684,508.721701,306.212684
30,1.000000,1187.938524,1068.404029,507.938524,308.404029
31,1.033333,1187.129903,1070.586113,507.129903,310.586113
32,1.066667,1186.295948,1072.758641,506.295948,312.758641
33,1.100000,1185.436771,1074.921319,505.436771,314.921319
34,1.133333,1184.552489,1077.073853,504.552489,317.073853
35,1.166667,1183.643221,1079.215953,503.643221,319.215953
36,1.200000,1182.709092,1081.347329,502.709092,321.347329
37,1.233333,1181.750226,1083.467691,501.750226,323.467691
38,1.266667,1180.766754,1085.576753,500.766754,325.576753
39,1.300000,1179.758809,1087.674229,499.758809,327.674229
40,1.333333,1178.726528,1089.759836,498.726528,329.759836
41,1.366667,1177.670050,1091.833291,497.670050,331.833291
42,1.400000,1176.589519,1093.894313,496.589519,333.894313
43,1.433333,1175.485080,1095.942623,495.485080,335.942623
44,1.466667,1174.356883,1097.977944,494.356883,337.977944
45,1.500000,1173.205081,1100.000000,493.205081,340.000000
46,1.533333,1172.029830,1102.008518,492.029830,342.008518
47,1.566667,1170.831288,1104.003226,490.831288,344.003226
48,1.600000,1169.609619,1105.983853,489.609619,345.983853
49,1.633333,1168.364988,1107.950132,488.364988,347.950132
50,1.666667,1167.097562,1109.901796,487.097562,349.901796
51,1.700000,1165.807515,1111.838581,485.807515,351.838581
52,1.733333,1164.495019,1113.760225,484.495019,353.760225
53,1.766667,1163.160254,1115.666467,483.160254,355.666467
54,1.800000,1161.803399,1117.557050,481.803399,357.557050
55,1.833333,1160.424639,1119.431718,480.424639,359.431718
56,1.866667,1159.024159,1121.290217,479.024159,361.290217
57,1.900000,1157.602151,1123.132295,477.602151,363.132295
58,1.933333,1156.158805,1124.957703,476.158805,364.957703
59,1.966667,1154.694319,1126.766193,474.694319,366.766193
60,2.000000,1153.208889,1128.557522,473.208889,368.557522
61,2.033333,1151.702717,1130.331446,471.702717,370.331446
62,2.066667,1150.176007,1132.087725,470.176007,372.087725
63,2.100000,1148.628965,1133.826121,468.628965,373.826121
64,2.133333,1147.061802,1135.546400,467.061802,375.546400
65,2.166667,1145.474728,1137.248328,465.474728,377.248328
66,2.200000,1143.867960,1138.931674,463.867960,378.931674
67,2.233333,1142.241714,1140.596211,462.241714,380.596211
68,2.266667,1140.596211,1142.241714,460.596211,382.241714
69,2.300000,1138.931674,1143.867960,458.931674,383.867960
70,2.333333,1137.248328,1145.474728,457.248328,385.474728
71,2.366667,1135.546400,1147.061802,455.546400,387.061802
72,2.400000,1133.826121,1148.628965,453.826121,388.628965
73,2.433333,1132.087725,1150.176007,452.087725,390.176007
74,2.466667,1130.331446,1151.702717,450.331446,391.702717
75,2.500000,1128.557522,1153.208889,448.557522,393.208889
76,2.533333,1126.766193,1154.694319,446.766193,394.694319
77,2.566667,1124.957703,1156.158805,444.957703,396.158805
78,2.600000,1123.132295,1157.602151,443.132295,397.602151
79,2.633333,1121.290217,1159.024159,441.290217,399.024159
80,2.666667,1119.431718,1160.424639,439.431718,400.424639
81,2.700000,1117.557050,1161.803399,437.557050,401.803399
82,2.733333,1115.666467,1163.160254,435.666467,403.160254
83,2.766667,1113.760225,1164.495019,433.760225,404.495019
