frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-200.0,0.0,200.0,ACQUIRING,True,12.6644
1,0.0333,-197.273,0.0,197.273,ACQUIRING,True,2.2939
2,0.0667,-188.087,0.0,188.087,ACQUIRING,True,0.6657
3,0.1,-171.931,0.0,171.931,ACQUIRING,True,0.6474
4,0.1333,-156.634,0.0,156.634,TRACKING,True,0.614
5,0.1667,-143.338,0.0,143.338,TRACKING,True,0.609
6,0.2,-131.948,0.0,131.948,TRACKING,True,0.6127
7,0.2333,-122.532,0.0,122.532,TRACKING,True,0.6077
8,0.2667,-114.707,0.0,114.707,TRACKING,True,0.6065
9,0.3,-107.835,0.0,107.835,TRACKING,True,0.6073
10,0.3333,-101.958,0.0,101.958,TRACKING,True,0.6203
11,0.3667,-96.819,0.0,96.819,TRACKING,True,0.6145
12,0.4,-91.95,0.0,91.95,TRACKING,True,0.6007
13,0.4333,-87.554,0.0,87.554,TRACKING,True,0.6056
14,0.4667,-83.506,0.0,83.506,TRACKING,True,0.5965
15,0.5,-79.433,0.0,79.433,TRACKING,True,0.6013
16,0.5333,-75.619,0.0,75.619,TRACKING,True,0.6245
17,0.5667,-71.995,0.0,71.995,TRACKING,True,0.5799
18,0.6,-68.228,0.0,68.228,TRACKING,True,0.6063
19,0.6333,-64.636,0.0,64.636,TRACKING,True,0.594
20,0.6667,-61.172,0.0,61.172,TRACKING,True,0.585
21,0.7,-57.519,0.0,57.519,TRACKING,True,0.6005
22,0.7333,-54.009,0.0,54.009,TRACKING,True,0.597
23,0.7667,-50.604,0.0,50.604,TRACKING,True,0.6338
24,0.8,-46.992,0.0,46.992,TRACKING,True,0.5791
25,0.8333,-43.512,0.0,43.512,TRACKING,True,0.6127
26,0.8667,-40.129,0.0,40.129,TRACKING,True,0.6087
27,0.9,-36.531,0.0,36.531,TRACKING,True,0.5974
28,0.9333,-33.061,0.0,33.061,TRACKING,True,0.6206
29,0.9667,-29.686,0.0,29.686,TRACKING,True,0.6102
30,1.0,-26.094,0.0,26.094,TRACKING,True,0.6426
31,1.0333,-22.63,0.0,22.63,TRACKING,True,0.6333
32,1.0667,-19.26,0.0,19.26,TRACKING,True,0.6072
33,1.1,-15.672,0.0,15.672,TRACKING,True,0.6348
34,1.1333,-12.212,0.0,12.212,TRACKING,True,0.6324
35,1.1667,-8.846,0.0,8.846,TRACKING,True,0.6255
36,1.2,-5.263,0.0,5.263,TRACKING,True,0.6247
37,1.2333,-1.808,0.0,1.808,TRACKING,True,0.5996
38,1.2667,1.552,0.0,1.552,TRACKING,True,0.6043
39,1.3,5.131,0.0,5.131,TRACKING,True,0.6055
40,1.3333,8.58,0.0,8.58,TRACKING,True,0.6291
41,1.3667,11.933,0.0,11.933,TRACKING,True,0.6081
42,1.4,15.505,0.0,15.505,TRACKING,True,0.61
43,1.4333,18.947,0.0,18.947,TRACKING,True,0.6075
44,1.4667,22.294,0.0,22.294,TRACKING,True,0.6173
45,1.5,25.859,0.0,25.859,TRACKING,True,0.6095
46,1.5333,29.294,0.0,29.294,TRACKING,True,0.619
47,1.5667,32.633,0.0,32.633,TRACKING,True,0.609
48,1.6,36.191,0.0,36.191,TRACKING,True,0.6281
49,1.6333,39.618,0.0,39.618,TRACKING,True,0.6079
50,1.6667,42.949,0.0,42.949,TRACKING,True,0.6233
51,1.7,46.5,0.0,46.5,TRACKING,True,0.6556
52,1.7333,49.919,0.0,49.919,TRACKING,True,0.6151
53,1.7667,53.243,0.0,53.243,TRACKING,True,0.611
54,1.8,56.786,0.0,56.786,TRACKING,True,0.617
55,1.8333,60.198,0.0,60.198,TRACKING,True,0.618
56,1.8667,63.514,0.0,63.514,TRACKING,True,0.6135
57,1.9,67.05,0.0,67.05,TRACKING,True,0.6065
58,1.9333,68.705,0.0,68.705,TRACKING,True,0.6204
59,1.9667,62.858,0.0,62.858,TRACKING,True,0.6179
60,2.0,51.834,0.0,51.834,TRACKING,True,0.6509
61,2.0333,37.333,0.0,37.333,TRACKING,True,0.6296
62,2.0667,22.057,0.0,22.057,TRACKING,True,0.6156
63,2.1,8.853,0.0,8.853,TRACKING,True,0.7107
64,2.1333,-1.369,0.0,1.369,TRACKING,True,0.6665
65,2.1667,-7.657,0.0,7.657,TRACKING,True,0.627
66,2.2,-9.902,0.0,9.902,TRACKING,True,0.6163
67,2.2333,-9.196,0.0,9.196,TRACKING,True,0.6112
68,2.2667,-6.631,0.0,6.631,TRACKING,True,0.6293
69,2.3,-2.42,0.0,2.42,TRACKING,True,0.6235
70,2.3333,1.82,0.0,1.82,TRACKING,True,0.6241
71,2.3667,5.494,0.0,5.494,TRACKING,True,0.6009
72,2.4,8.46,0.0,8.46,TRACKING,True,0.6255
73,2.4333,10.323,0.0,10.323,TRACKING,True,0.6096
74,2.4667,11.088,0.0,11.088,TRACKING,True,0.614
75,2.5,11.052,0.0,11.052,TRACKING,True,0.6757
76,2.5333,10.432,0.0,10.432,TRACKING,True,0.6253
77,2.5667,9.387,0.0,9.387,TRACKING,True,0.6138
78,2.6,8.325,0.0,8.325,TRACKING,True,0.622
79,2.6333,7.253,0.0,7.253,TRACKING,True,0.6247
80,2.6667,6.173,0.0,6.173,TRACKING,True,0.6189
81,2.7,5.674,0.0,5.674,TRACKING,True,0.6146
82,2.7333,5.306,0.0,5.306,TRACKING,True,0.6053
83,2.7667,5.327,0.0,5.327,TRACKING,True,0.6193
84,2.8,5.632,0.0,5.632,TRACKING,True,0.6256
85,2.8333,5.851,0.0,5.851,TRACKING,True,0.6287
86,2.8667,6.007,0.0,6.007,TRACKING,True,0.6045
87,2.9,6.41,0.0,6.41,TRACKING,True,0.6125
88,2.9333,6.7,0.0,6.7,TRACKING,True,0.5987
89,2.9667,6.908,0.0,6.908,TRACKING,True,0.636
90,3.0,7.056,0.0,7.056,TRACKING,True,0.6162
91,3.0333,7.16,0.0,7.16,TRACKING,True,0.6122
92,3.0667,6.94,0.0,6.94,TRACKING,True,0.6192
93,3.1,7.068,0.0,7.068,TRACKING,True,0.6337
94,3.1333,6.866,0.0,6.866,TRACKING,True,0.6053
95,3.1667,6.715,0.0,6.715,TRACKING,True,0.6119
96,3.2,6.602,0.0,6.602,TRACKING,True,0.6145
97,3.2333,6.516,0.0,6.516,TRACKING,True,0.6062
98,3.2667,6.452,0.0,6.452,TRACKING,True,0.6126
99,3.3,6.402,0.0,6.402,TRACKING,True,0.6123
100,3.3333,6.363,0.0,6.363,TRACKING,True,0.6103
101,3.3667,6.332,0.0,6.332,TRACKING,True,0.6203
102,3.4,6.601,0.0,6.601,TRACKING,True,0.6195
103,3.4333,6.794,0.0,6.794,TRACKING,True,0.6172
104,3.4667,6.639,0.0,6.639,TRACKING,True,0.615
105,3.5,6.817,0.0,6.817,TRACKING,True,0.6126
106,3.5333,6.945,0.0,6.945,TRACKING,True,0.6013
107,3.5667,6.743,0.0,6.743,TRACKING,True,0.6125
108,3.6,6.886,0.0,6.886,TRACKING,True,0.614
109,3.6333,6.695,0.0,6.695,TRACKING,True,0.7095
110,3.6667,6.554,0.0,6.554,TRACKING,True,0.6346
111,3.7,6.743,0.0,6.743,TRACKING,True,0.7019
112,3.7333,6.585,0.0,6.585,TRACKING,True,0.6627
113,3.7667,6.469,0.0,6.469,TRACKING,True,0.6746
114,3.8,6.675,0.0,6.675,TRACKING,True,0.7269
115,3.8333,6.531,0.0,6.531,TRACKING,True,0.6112
116,3.8667,6.425,0.0,6.425,TRACKING,True,0.842
117,3.9,6.638,0.0,6.638,TRACKING,True,0.6759
118,3.9333,6.793,0.0,6.793,TRACKING,True,0.6091
119,3.9667,6.611,0.0,6.611,TRACKING,True,0.6398
120,4.0,6.77,0.0,6.77,TRACKING,True,0.6412
121,4.0333,6.591,0.0,6.591,TRACKING,True,0.6321
122,4.0667,6.46,0.0,6.46,TRACKING,True,0.6291
123,4.1,6.656,0.0,6.656,TRACKING,True,0.7431
124,4.1333,6.797,0.0,6.797,TRACKING,True,0.656
125,4.1667,6.606,0.0,6.606,TRACKING,True,0.749
126,4.2,6.759,0.0,6.759,TRACKING,True,0.6124
127,4.2333,6.868,0.0,6.868,TRACKING,True,0.5991
128,4.2667,6.654,0.0,6.654,TRACKING,True,0.5725
129,4.3,6.79,0.0,6.79,TRACKING,True,0.6843
130,4.3333,6.595,0.0,6.595,TRACKING,True,0.6407
131,4.3667,6.452,0.0,6.452,TRACKING,True,0.6591
132,4.4,6.64,0.0,6.64,TRACKING,True,0.6448
133,4.4333,6.776,0.0,6.776,TRACKING,True,0.6593
134,4.4667,6.581,0.0,6.581,TRACKING,True,0.6515
135,4.5,6.731,0.0,6.731,TRACKING,True,0.7131
136,4.5333,6.546,0.0,6.546,TRACKING,True,0.6142
137,4.5667,6.411,0.0,6.411,TRACKING,True,0.7419
138,4.6,6.605,0.0,6.605,TRACKING,True,0.5822
139,4.6333,6.745,0.0,6.745,TRACKING,True,0.5853
140,4.6667,6.554,0.0,6.554,TRACKING,True,0.5891
141,4.7,6.706,0.0,6.706,TRACKING,True,0.5878
142,4.7333,6.817,0.0,6.817,TRACKING,True,0.5813
143,4.7667,6.604,0.0,6.604,TRACKING,True,0.6015
144,4.8,6.741,0.0,6.741,TRACKING,True,0.5927
145,4.8333,6.84,0.0,6.84,TRACKING,True,0.572
146,4.8667,6.618,0.0,6.618,TRACKING,True,0.596
147,4.9,6.749,0.0,6.749,TRACKING,True,0.5715
148,4.9333,6.844,0.0,6.844,TRACKING,True,0.5795
149,4.9667,6.619,0.0,6.619,TRACKING,True,0.5744
150,5.0,6.748,0.0,6.748,TRACKING,True,0.5732
151,5.0333,6.548,0.0,6.548,TRACKING,True,0.615
152,5.0667,6.402,0.0,6.402,TRACKING,True,0.6939
153,5.1,6.588,0.0,6.588,TRACKING,True,0.597
154,5.1333,6.724,0.0,6.724,TRACKING,True,0.6128
155,5.1667,6.529,0.0,6.529,TRACKING,True,0.6378
156,5.2,6.679,0.0,6.679,TRACKING,True,0.6548
157,5.2333,6.788,0.0,6.788,TRACKING,True,0.6218
158,5.2667,6.575,0.0,6.575,TRACKING,True,0.6116
159,5.3,6.711,0.0,6.711,TRACKING,True,0.6033
160,5.3333,6.81,0.0,6.81,TRACKING,True,0.6415
161,5.3667,6.589,0.0,6.589,TRACKING,True,0.605
162,5.4,6.721,0.0,6.721,TRACKING,True,0.6161
163,5.4333,6.816,0.0,6.816,TRACKING,True,0.628
164,5.4667,6.592,0.0,6.592,TRACKING,True,0.6153
165,5.5,6.722,0.0,6.722,TRACKING,True,0.6248
166,5.5333,6.815,0.0,6.815,TRACKING,True,0.6055
167,5.5667,6.591,0.0,6.591,TRACKING,True,0.65
168,5.6,6.719,0.0,6.719,TRACKING,True,0.6091
169,5.6333,6.52,0.0,6.52,TRACKING,True,0.6008
170,5.6667,6.374,0.0,6.374,TRACKING,True,0.6073
171,5.7,6.561,0.0,6.561,TRACKING,True,0.5898
172,5.7333,6.697,0.0,6.697,TRACKING,True,0.606
173,5.7667,6.503,0.0,6.503,TRACKING,True,0.6227
174,5.8,6.654,0.0,6.654,TRACKING,True,0.6152
175,5.8333,6.764,0.0,6.764,TRACKING,True,0.6116
176,5.8667,6.551,0.0,6.551,TRACKING,True,0.6192
177,5.9,6.688,0.0,6.688,TRACKING,True,0.6128
178,5.9333,6.788,0.0,6.788,TRACKING,True,0.631
179,5.9667,6.568,0.0,6.568,TRACKING,True,0.6129
180,6.0,6.7,0.0,6.7,TRACKING,True,0.6051
181,6.0333,6.796,0.0,6.796,TRACKING,True,0.601
182,6.0667,6.572,0.0,6.572,TRACKING,True,0.6642
