frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-0.5,-0.5,0.707,ACQUIRING,True,10.7877
1,0.0333,-0.5,-0.5,0.707,ACQUIRING,True,2.8788
2,0.0667,-0.5,-0.5,0.707,ACQUIRING,True,1.3074
3,0.1,-0.5,-0.5,0.707,ACQUIRING,True,1.204
4,0.1333,-0.5,-0.5,0.707,TRACKING,True,1.2115
5,0.1667,-0.5,-0.5,0.707,TRACKING,True,1.1675
6,0.2,-0.5,-0.5,0.707,TRACKING,True,1.1802
7,0.2333,-0.5,-0.5,0.707,TRACKING,True,1.1983
8,0.2667,-0.5,-0.5,0.707,TRACKING,True,1.157
9,0.3,-0.5,-0.5,0.707,TRACKING,True,1.1889
10,0.3333,-0.5,-0.5,0.707,TRACKING,True,1.4605
11,0.3667,-0.5,-0.5,0.707,TRACKING,True,1.2139
12,0.4,-0.5,-0.5,0.707,TRACKING,True,1.1688
13,0.4333,-0.5,-0.5,0.707,TRACKING,True,1.2474
14,0.4667,-0.5,-0.5,0.707,TRACKING,True,1.2317
15,0.5,-0.5,-0.5,0.707,TRACKING,True,1.1607
16,0.5333,-0.5,-0.5,0.707,TRACKING,True,1.2063
17,0.5667,-0.5,-0.5,0.707,TRACKING,True,1.2103
18,0.6,-0.5,-0.5,0.707,TRACKING,True,1.2031
19,0.6333,-0.5,-0.5,0.707,TRACKING,True,1.2145
20,0.6667,-0.5,-0.5,0.707,TRACKING,True,1.2659
21,0.7,-0.5,-0.5,0.707,TRACKING,True,1.1995
22,0.7333,-0.5,-0.5,0.707,TRACKING,True,1.1518
23,0.7667,-0.5,-0.5,0.707,TRACKING,True,1.2332
24,0.8,-0.5,-0.5,0.707,TRACKING,True,1.1856
25,0.8333,-0.5,-0.5,0.707,TRACKING,True,1.1829
26,0.8667,-0.5,-0.5,0.707,TRACKING,True,1.2037
27,0.9,-0.5,-0.5,0.707,TRACKING,True,1.2212
28,0.9333,-0.5,-0.5,0.707,TRACKING,True,1.2009
29,0.9667,-0.5,-0.5,0.707,TRACKING,True,1.1348
30,1.0,-0.5,-0.5,0.707,TRACKING,True,1.2215
31,1.0333,-0.5,-0.5,0.707,TRACKING,True,1.1452
32,1.0667,-0.5,-0.5,0.707,TRACKING,True,1.2087
33,1.1,-0.5,-0.5,0.707,TRACKING,True,1.1952
34,1.1333,-0.5,-0.5,0.707,TRACKING,True,1.1371
35,1.1667,-0.5,-0.5,0.707,TRACKING,True,1.1891
36,1.2,-0.5,-0.5,0.707,TRACKING,True,1.1873
37,1.2333,-0.5,-0.5,0.707,TRACKING,True,1.185
38,1.2667,-0.5,-0.5,0.707,TRACKING,True,1.2698
39,1.3,-0.5,-0.5,0.707,TRACKING,True,1.1567
40,1.3333,-0.5,-0.5,0.707,TRACKING,True,1.1994
41,1.3667,-0.5,-0.5,0.707,TRACKING,True,1.1417
42,1.4,-0.5,-0.5,0.707,TRACKING,True,1.1849
43,1.4333,-0.5,-0.5,0.707,TRACKING,True,1.1436
44,1.4667,-0.5,-0.5,0.707,TRACKING,True,1.1742
45,1.5,-0.5,-0.5,0.707,TRACKING,True,1.1948
46,1.5333,-0.5,-0.5,0.707,TRACKING,True,1.1956
47,1.5667,-0.5,-0.5,0.707,TRACKING,True,1.2022
48,1.6,-0.5,-0.5,0.707,TRACKING,True,1.2057
49,1.6333,-0.5,-0.5,0.707,TRACKING,True,1.2418
50,1.6667,-0.5,-0.5,0.707,TRACKING,True,1.1679
51,1.7,-0.5,-0.5,0.707,TRACKING,True,1.1806
52,1.7333,-0.5,-0.5,0.707,TRACKING,True,1.2068
53,1.7667,-0.5,-0.5,0.707,TRACKING,True,1.179
54,1.8,-0.5,-0.5,0.707,TRACKING,True,1.1317
55,1.8333,-0.5,-0.5,0.707,TRACKING,True,1.135
56,1.8667,-0.5,-0.5,0.707,TRACKING,True,1.1609
57,1.9,-0.5,-0.5,0.707,TRACKING,True,1.132
58,1.9333,-0.5,-0.5,0.707,TRACKING,True,1.196
59,1.9667,-0.5,-0.5,0.707,TRACKING,True,1.1846
60,2.0,-0.5,-0.5,0.707,TRACKING,True,1.1525
61,2.0333,-0.5,-0.5,0.707,TRACKING,True,1.1609
62,2.0667,-0.5,-0.5,0.707,TRACKING,True,1.2037
63,2.1,-0.5,-0.5,0.707,TRACKING,True,1.2223
64,2.1333,-0.5,-0.5,0.707,TRACKING,True,1.1561
65,2.1667,-0.5,-0.5,0.707,TRACKING,True,1.1894
66,2.2,-0.5,-0.5,0.707,TRACKING,True,1.1672
67,2.2333,-0.5,-0.5,0.707,TRACKING,True,1.1929
68,2.2667,-0.5,-0.5,0.707,TRACKING,True,1.1566
69,2.3,-0.5,-0.5,0.707,TRACKING,True,1.2088
70,2.3333,-0.5,-0.5,0.707,TRACKING,True,1.2171
71,2.3667,-0.5,-0.5,0.707,TRACKING,True,1.2747
72,2.4,-0.5,-0.5,0.707,TRACKING,True,1.2275
73,2.4333,-0.5,-0.5,0.707,TRACKING,True,1.1653
74,2.4667,-0.5,-0.5,0.707,TRACKING,True,1.165
75,2.5,-0.5,-0.5,0.707,TRACKING,True,1.185
76,2.5333,-0.5,-0.5,0.707,TRACKING,True,1.2705
77,2.5667,-0.5,-0.5,0.707,TRACKING,True,1.168
78,2.6,-0.5,-0.5,0.707,TRACKING,True,1.2187
79,2.6333,-0.5,-0.5,0.707,TRACKING,True,1.2466
80,2.6667,-0.5,-0.5,0.707,TRACKING,True,1.1616
81,2.7,-0.5,-0.5,0.707,TRACKING,True,1.1774
82,2.7333,-0.5,-0.5,0.707,TRACKING,True,1.1977
83,2.7667,-0.5,-0.5,0.707,TRACKING,True,1.1681
84,2.8,-0.5,-0.5,0.707,TRACKING,True,1.1935
85,2.8333,-0.5,-0.5,0.707,TRACKING,True,1.1677
86,2.8667,-0.5,-0.5,0.707,TRACKING,True,1.1745
87,2.9,-0.5,-0.5,0.707,TRACKING,True,1.149
88,2.9333,-0.5,-0.5,0.707,TRACKING,True,1.178
89,2.9667,-0.5,-0.5,0.707,TRACKING,True,1.167
90,3.0,-0.5,-0.5,0.707,TRACKING,True,1.1639
91,3.0333,-0.5,-0.5,0.707,TRACKING,True,1.1846
92,3.0667,-0.5,-0.5,0.707,TRACKING,True,1.2073
93,3.1,-0.5,-0.5,0.707,TRACKING,True,1.1752
