frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-200.059,0.008,200.059,ACQUIRING,True,52.3686
1,0.0333,-197.322,-0.081,197.322,ACQUIRING,True,17.9458
2,0.0667,-188.126,-0.075,188.126,ACQUIRING,True,16.8353
3,0.1,-171.974,-0.047,171.974,ACQUIRING,True,16.6306
4,0.1333,-150.316,-0.036,150.316,TRACKING,True,16.7211
5,0.1667,-125.003,-0.027,125.003,TRACKING,True,16.6787
6,0.2,-97.467,-0.02,97.467,TRACKING,True,16.5037
7,0.2333,-68.635,-0.027,68.635,TRACKING,True,16.5383
8,0.2667,-39.055,-0.025,39.055,TRACKING,True,16.5327
9,0.3,-11.21,0.003,11.21,TRACKING,True,16.5925
10,0.3333,11.755,0.023,11.755,TRACKING,True,16.5601
11,0.3667,28.088,0.012,28.088,TRACKING,True,16.646
12,0.4,37.029,-0.012,37.029,TRACKING,True,16.5128
13,0.4333,39.407,0.031,39.407,TRACKING,True,16.5388
14,0.4667,36.437,-0.001,36.437,TRACKING,True,16.5027
15,0.5,30.371,-0.012,30.371,TRACKING,True,16.4715
16,0.5333,22.577,-0.004,22.577,TRACKING,True,16.479
17,0.5667,14.622,-0.003,14.622,TRACKING,True,16.4978
18,0.6,7.668,-0.002,7.668,TRACKING,True,16.5755
19,0.6333,2.288,-0.001,2.288,TRACKING,True,16.593
20,0.6667,-0.82,0.002,0.82,TRACKING,True,16.6155
21,0.7,-2.262,-0.001,2.262,TRACKING,True,16.8117
22,0.7333,-1.902,-0.001,1.902,TRACKING,True,16.5801
23,0.7667,-0.514,-0.0,0.514,TRACKING,True,16.4901
24,0.8,1.609,-0.0,1.609,TRACKING,True,16.5128
25,0.8333,3.742,0.007,3.742,TRACKING,True,16.6155
26,0.8667,5.835,-0.009,5.835,TRACKING,True,16.5623
27,0.9,7.386,-0.002,7.386,TRACKING,True,16.491
28,0.9333,8.542,-0.006,8.542,TRACKING,True,16.7696
29,0.9667,9.058,-0.009,9.058,TRACKING,True,16.509
30,1.0,9.144,-0.002,9.144,TRACKING,True,16.517
