frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-0.5,-0.5,0.707,ACQUIRING,True,2.8624
1,0.0333,-0.5,-0.5,0.707,ACQUIRING,True,1.2615
2,0.0667,-0.5,-0.5,0.707,ACQUIRING,True,1.2065
3,0.1,-0.5,-0.5,0.707,ACQUIRING,True,1.4024
4,0.1333,-0.5,-0.5,0.707,TRACKING,True,1.3157
5,0.1667,-0.5,-0.5,0.707,TRACKING,True,1.3213
6,0.2,-0.5,-0.5,0.707,TRACKING,True,1.6335
7,0.2333,-0.5,-0.5,0.707,TRACKING,True,1.4912
8,0.2667,-0.5,-0.5,0.707,TRACKING,True,1.2494
9,0.3,-0.5,-0.5,0.707,TRACKING,True,1.4292
10,0.3333,-0.5,-0.5,0.707,TRACKING,True,1.2559
11,0.3667,-0.5,-0.5,0.707,TRACKING,True,1.2437
12,0.4,-0.5,-0.5,0.707,TRACKING,True,1.2117
13,0.4333,-0.5,-0.5,0.707,TRACKING,True,1.2152
14,0.4667,-0.5,-0.5,0.707,TRACKING,True,1.1775
15,0.5,-0.5,-0.5,0.707,TRACKING,True,1.1867
16,0.5333,-0.5,-0.5,0.707,TRACKING,True,1.2296
17,0.5667,-0.5,-0.5,0.707,TRACKING,True,1.1945
18,0.6,-0.5,-0.5,0.707,TRACKING,True,1.2549
19,0.6333,-0.5,-0.5,0.707,TRACKING,True,1.2044
20,0.6667,-0.5,-0.5,0.707,TRACKING,True,1.2198
21,0.7,-0.5,-0.5,0.707,TRACKING,True,1.1902
22,0.7333,-0.5,-0.5,0.707,TRACKING,True,1.2099
23,0.7667,-0.5,-0.5,0.707,TRACKING,True,1.2177
24,0.8,-0.5,-0.5,0.707,TRACKING,True,1.1554
25,0.8333,-0.5,-0.5,0.707,TRACKING,True,1.1575
26,0.8667,-0.5,-0.5,0.707,TRACKING,True,1.163
27,0.9,-0.5,-0.5,0.707,TRACKING,True,1.2098
28,0.9333,-0.5,-0.5,0.707,TRACKING,True,1.2037
29,0.9667,-0.5,-0.5,0.707,TRACKING,True,1.207
30,1.0,-0.5,-0.5,0.707,TRACKING,True,1.1967
31,1.0333,-0.5,-0.5,0.707,TRACKING,True,1.1839
32,1.0667,-0.5,-0.5,0.707,TRACKING,True,1.1983
33,1.1,-0.5,-0.5,0.707,TRACKING,True,1.2217
34,1.1333,-0.5,-0.5,0.707,TRACKING,True,1.2211
35,1.1667,-0.5,-0.5,0.707,TRACKING,True,1.2195
36,1.2,-0.5,-0.5,0.707,TRACKING,True,1.275
37,1.2333,-0.5,-0.5,0.707,TRACKING,True,1.177
38,1.2667,-0.5,-0.5,0.707,TRACKING,True,1.2353
39,1.3,-0.5,-0.5,0.707,TRACKING,True,1.1692
40,1.3333,-0.5,-0.5,0.707,TRACKING,True,1.188
41,1.3667,-0.5,-0.5,0.707,TRACKING,True,1.2086
42,1.4,-0.5,-0.5,0.707,TRACKING,True,1.14
43,1.4333,-0.5,-0.5,0.707,TRACKING,True,1.1929
44,1.4667,-0.5,-0.5,0.707,TRACKING,True,1.2736
45,1.5,-0.5,-0.5,0.707,TRACKING,True,1.147
46,1.5333,-0.5,-0.5,0.707,TRACKING,True,1.1826
47,1.5667,-0.5,-0.5,0.707,TRACKING,True,1.1477
48,1.6,-0.5,-0.5,0.707,TRACKING,True,1.2625
49,1.6333,-0.5,-0.5,0.707,TRACKING,True,1.1901
50,1.6667,-0.5,-0.5,0.707,TRACKING,True,1.2025
51,1.7,-0.5,-0.5,0.707,TRACKING,True,1.2534
52,1.7333,-0.5,-0.5,0.707,TRACKING,True,1.1983
53,1.7667,-0.5,-0.5,0.707,TRACKING,True,1.1823
54,1.8,-0.5,-0.5,0.707,TRACKING,True,1.1625
55,1.8333,-0.5,-0.5,0.707,TRACKING,True,1.192
56,1.8667,-0.5,-0.5,0.707,TRACKING,True,1.2089
57,1.9,-0.5,-0.5,0.707,TRACKING,True,1.1605
58,1.9333,-0.5,-0.5,0.707,TRACKING,True,1.217
59,1.9667,-0.5,-0.5,0.707,TRACKING,True,1.1837
