frame_index,t_s,error_x_px,error_y_px,error_magnitude_px,tracker_status,detection_found,processing_time_ms
0,0.0,-200.0,0.0,200.0,ACQUIRING,True,13.8038
1,0.0333,-197.273,0.0,197.273,ACQUIRING,True,3.1075
2,0.0667,-188.087,0.0,188.087,ACQUIRING,True,1.1967
3,0.1,-171.931,0.0,171.931,ACQUIRING,True,1.1845
4,0.1333,-150.281,0.0,150.281,TRACKING,True,1.2389
5,0.1667,-124.977,0.0,124.977,TRACKING,True,1.4773
6,0.2,-97.448,0.0,97.448,TRACKING,True,1.2792
7,0.2333,-68.621,0.0,68.621,TRACKING,True,1.4425
8,0.2667,-39.041,0.0,39.041,TRACKING,True,1.3277
9,0.3,-11.19,0.0,11.19,TRACKING,True,1.1829
10,0.3333,11.77,0.0,11.77,TRACKING,True,1.1526
11,0.3667,28.08,0.0,28.08,TRACKING,True,1.1815
12,0.4,37.009,0.0,37.009,TRACKING,True,1.2237
13,0.4333,39.404,0.0,39.404,TRACKING,True,1.1689
14,0.4667,36.44,0.0,36.44,TRACKING,True,1.1496
15,0.5,30.37,0.0,30.37,TRACKING,True,1.4202
16,0.5333,22.572,0.0,22.572,TRACKING,True,1.3686
17,0.5667,14.618,0.0,14.618,TRACKING,True,1.4347
18,0.6,7.665,0.0,7.665,TRACKING,True,1.3825
19,0.6333,2.286,0.0,2.286,TRACKING,True,1.357
20,0.6667,-0.817,0.0,0.817,TRACKING,True,1.4029
21,0.7,-2.25,0.0,2.25,TRACKING,True,1.1207
22,0.7333,-1.894,0.0,1.894,TRACKING,True,1.1305
23,0.7667,-0.509,0.0,0.509,TRACKING,True,1.0968
24,0.8,1.632,0.0,1.632,TRACKING,True,1.1278
25,0.8333,3.759,0.0,3.759,TRACKING,True,1.1321
26,0.8667,5.875,0.0,5.875,TRACKING,True,1.1439
27,0.9,7.416,0.0,7.416,TRACKING,True,1.145
28,0.9333,8.533,0.0,8.533,TRACKING,True,1.1104
29,0.9667,9.056,0.0,9.056,TRACKING,True,1.169
30,1.0,8.857,0.0,8.857,TRACKING,True,1.1651
31,1.0333,8.415,0.0,8.415,TRACKING,True,1.2724
32,1.0667,7.797,0.0,7.797,TRACKING,True,1.2339
33,1.1,7.337,0.0,7.337,TRACKING,True,1.237
34,1.1333,6.992,0.0,6.992,TRACKING,True,1.2227
35,1.1667,6.444,0.0,6.444,TRACKING,True,1.1012
36,1.2,6.324,0.0,6.324,TRACKING,True,1.1061
37,1.2333,6.229,0.0,6.229,TRACKING,True,1.0913
38,1.2667,6.152,0.0,6.152,TRACKING,True,1.1106
39,1.3,6.088,0.0,6.088,TRACKING,True,1.1245
40,1.3333,6.034,0.0,6.034,TRACKING,True,1.0999
41,1.3667,6.278,0.0,6.278,TRACKING,True,1.1455
42,1.4,6.448,0.0,6.448,TRACKING,True,1.1924
43,1.4333,6.566,0.0,6.566,TRACKING,True,1.182
44,1.4667,6.645,0.0,6.645,TRACKING,True,1.1613
45,1.5,6.696,0.0,6.696,TRACKING,True,1.208
46,1.5333,6.726,0.0,6.726,TRACKING,True,1.1697
47,1.5667,6.742,0.0,6.742,TRACKING,True,1.155
48,1.6,6.747,0.0,6.747,TRACKING,True,1.1584
49,1.6333,6.745,0.0,6.745,TRACKING,True,1.1951
50,1.6667,6.737,0.0,6.737,TRACKING,True,1.1926
51,1.7,6.725,0.0,6.725,TRACKING,True,1.1275
52,1.7333,6.711,0.0,6.711,TRACKING,True,1.4291
53,1.7667,6.695,0.0,6.695,TRACKING,True,1.1283
54,1.8,6.677,0.0,6.677,TRACKING,True,1.1623
55,1.8333,6.66,0.0,6.66,TRACKING,True,1.1589
56,1.8667,6.641,0.0,6.641,TRACKING,True,1.104
57,1.9,6.623,0.0,6.623,TRACKING,True,1.1153
58,1.9333,6.605,0.0,6.605,TRACKING,True,1.1266
59,1.9667,6.586,0.0,6.586,TRACKING,True,1.1989
60,2.0,6.569,0.0,6.569,TRACKING,True,1.113
61,2.0333,6.551,0.0,6.551,TRACKING,True,1.1183
62,2.0667,6.534,0.0,6.534,TRACKING,True,1.1914
63,2.1,6.517,0.0,6.517,TRACKING,True,1.1593
64,2.1333,6.501,0.0,6.501,TRACKING,True,1.1814
65,2.1667,6.485,0.0,6.485,TRACKING,True,1.1356
66,2.2,6.47,0.0,6.47,TRACKING,True,1.1733
67,2.2333,6.747,0.0,6.747,TRACKING,True,1.3352
68,2.2667,6.653,0.0,6.653,TRACKING,True,1.3943
69,2.3,6.581,0.0,6.581,TRACKING,True,1.324
70,2.3333,6.817,0.0,6.817,TRACKING,True,1.1528
71,2.3667,6.694,0.0,6.694,TRACKING,True,1.1383
72,2.4,6.6,0.0,6.6,TRACKING,True,1.1574
73,2.4333,6.529,0.0,6.529,TRACKING,True,1.1617
74,2.4667,6.766,0.0,6.766,TRACKING,True,1.217
75,2.5,6.644,0.0,6.644,TRACKING,True,1.1367
76,2.5333,6.551,0.0,6.551,TRACKING,True,1.1214
77,2.5667,6.774,0.0,6.774,TRACKING,True,1.1961
78,2.6,6.64,0.0,6.64,TRACKING,True,1.3785
79,2.6333,6.833,0.0,6.833,TRACKING,True,1.1507
80,2.6667,6.678,0.0,6.678,TRACKING,True,1.1357
81,2.7,6.563,0.0,6.563,TRACKING,True,1.369
82,2.7333,6.476,0.0,6.476,TRACKING,True,1.1646
83,2.7667,6.703,0.0,6.703,TRACKING,True,1.1551
84,2.8,6.867,0.0,6.867,TRACKING,True,1.199
85,2.8333,6.691,0.0,6.691,TRACKING,True,1.1818
86,2.8667,6.56,0.0,6.56,TRACKING,True,1.1902
87,2.9,6.463,0.0,6.463,TRACKING,True,1.188
88,2.9333,6.683,0.0,6.683,TRACKING,True,1.1201
89,2.9667,6.841,0.0,6.841,TRACKING,True,1.1243
90,3.0,6.662,0.0,6.662,TRACKING,True,1.123
91,3.0333,6.529,0.0,6.529,TRACKING,True,1.0857
92,3.0667,6.723,0.0,6.723,TRACKING,True,1.0815
93,3.1,6.863,0.0,6.863,TRACKING,True,1.1066
94,3.1333,6.67,0.0,6.67,TRACKING,True,1.0885
95,3.1667,6.528,0.0,6.528,TRACKING,True,1.109
